mu,K,Q,N0
0.63315807177121,0.0588400040169443,6.7972632735058e-10,579.862811886023
0.63315807177121,0.0588400040169443,6.7972632735058e-10,579.862811886023
0.63315807177121,0.0711379267687956,6.7972632735058e-10,579.862811886023
0.63315807177121,0.0711379267687956,6.7972632735058e-10,592.734754116356
0.63315807177121,0.0711379267687956,6.7972632735058e-10,592.734754116356
0.611630535644611,0.0703699086518627,6.43450812750537e-10,600.602876310455
0.611630535644611,0.0776286611248312,6.36384662121988e-10,600.602876310455
0.621868731017084,0.0609388027754718,6.58135585898418e-10,566.750550977128
0.58873141590292,0.0737043307633999,6.63970922032903e-10,571.235073652881
0.623106617004514,0.0513439729159943,6.63970922032903e-10,571.235073652881
0.623106617004514,0.0513439729159943,6.63970922032903e-10,571.235073652881
0.623106617004514,0.0513439729159943,6.63970922032903e-10,571.235073652881
0.623106617004514,0.0513439729159943,6.63970922032903e-10,571.235073652881
0.63285444805381,0.0601256156683053,6.65063225407685e-10,573.793871001404
0.63285444805381,0.0601256156683053,6.65063225407685e-10,573.793871001404
0.619389371933893,0.0590987543356137,6.85086646203848e-10,616.958955472788
0.619389371933893,0.0590987543356137,6.85086646203848e-10,616.958955472788
0.620613925610605,0.0605433592651689,6.6083362195428e-10,597.049829618972
0.620613925610605,0.0605433592651689,6.6083362195428e-10,597.049829618972
0.621010709869265,0.0636226652413167,6.74227866519506e-10,576.756075515701
0.621010709869265,0.0636226652413167,6.74227866519506e-10,576.756075515701
0.621010709869265,0.0636226652413167,6.74227866519506e-10,582.711213540512
0.621010709869265,0.0636226652413167,6.74227866519506e-10,582.711213540512
0.621010709869265,0.0636226652413167,6.74227866519506e-10,582.711213540512
0.5893923729076,0.0619512241691632,6.6059073694821e-10,620.875254830875
0.580649982309807,0.0731532261764969,6.63840168177658e-10,601.832667159946
0.580649982309807,0.0731532261764969,6.91501903735647e-10,601.832667159946
0.580649982309807,0.0731532261764969,6.91501903735647e-10,601.832667159946
0.580649982309807,0.0741319279319782,6.91501903735647e-10,601.832667159946
0.626545360540547,0.0765230398749421,6.91501903735647e-10,581.808440561339
0.632766195571428,0.0733401480484508,6.92470726949775e-10,609.177977483023
0.616033791233949,0.0661265168122339,6.96653547333601e-10,614.621845604667
0.619395575657013,0.0522108640403706,6.73356321445916e-10,575.57359873502
0.628519836479118,0.0522108640403706,6.76129566067108e-10,567.061856460858
0.609322692298708,0.0563509554947607,6.2388642424405e-10,586.798175359238
0.609322692298708,0.0563509554947607,6.2388642424405e-10,586.798175359238
0.609322692298708,0.0563509554947607,6.2388642424405e-10,586.798175359238
0.625775233502004,0.0590627715810732,6.36389980688135e-10,572.406950125164
0.623259457118678,0.0539768425588621,6.71781163164496e-10,553.852831096416
0.636239245892108,0.0580975681409619,6.71781163164496e-10,553.852831096416
0.636239245892108,0.0580975681409619,6.71781163164496e-10,553.852831096416
0.636239245892108,0.0580975681409619,6.71781163164496e-10,553.852831096416
0.636239245892108,0.0580975681409619,6.71781163164496e-10,553.852831096416
0.636239245892108,0.0580975681409619,6.71781163164496e-10,553.852831096416
0.636239245892108,0.0580975681409619,6.71781163164496e-10,564.881723926569
0.636239245892108,0.0580975681409619,6.71781163164496e-10,564.881723926569
0.636239245892108,0.0580975681409619,6.71781163164496e-10,564.881723926569
0.636239245892108,0.0580975681409619,6.61718170595439e-10,564.881723926569
0.636239245892108,0.0580975681409619,6.61718170595439e-10,564.881723926569
0.561453308562982,0.0628616402768467,6.77806055136125e-10,595.854402403554
0.576297370824986,0.0600344910077943,6.28792924714274e-10,574.935007469903
0.589898916032424,0.0563871290083962,6.9707793290774e-10,570.570601585165
